Date,Open,High,Low,Close,Adj Close,Volume
2018-10-29,880.080017,900.510010,859.000000,865.409973,854.539551,80900
2018-10-30,863.630005,889.890015,850.010010,888.200012,877.043274,71100
2018-10-31,895.419983,923.880005,890.260010,906.010010,894.629639,89200
2018-11-01,909.729980,909.729980,880.710022,903.239990,891.894531,70300
2018-11-02,908.000000,923.710022,890.000000,900.809998,889.494934,67600
2018-11-05,899.020020,904.070007,888.000000,896.000000,884.745483,90200
2018-11-06,898.520020,913.690002,887.479980,896.979980,885.713013,55700
2018-11-07,902.280029,922.989990,896.460022,913.580017,902.104553,61900
2018-11-08,910.679993,916.369995,901.400024,909.340027,897.917725,45600
2018-11-09,902.349976,916.400024,891.020020,893.659973,882.434814,44600
2018-11-12,893.650024,894.979980,873.000000,889.469971,878.297302,44400
2018-11-13,890.210022,900.869995,885.820007,892.159973,880.953613,54700
2018-11-14,897.059998,905.679993,896.559998,900.380005,889.070435,50200
2018-11-15,898.390015,907.090027,895.950012,900.000000,888.695251,54900
2018-11-16,896.090027,915.900024,895.000000,913.500000,902.025513,26100
2018-11-19,910.570007,911.270020,884.840027,894.210022,882.977905,65000
2018-11-20,884.630005,898.150024,870.090027,882.799988,871.711182,52500
2018-11-21,886.989990,919.299988,882.270020,910.150024,898.717712,66800
2018-11-22,911.640015,921.020020,906.830017,921.020020,909.451172,20600
2018-11-23,912.780029,915.900024,903.599976,905.000000,893.632263,19800
2018-11-26,911.119995,918.380005,904.650024,912.599976,901.136780,36300
2018-11-27,910.210022,921.780029,899.760010,902.469971,891.134094,45700
2018-11-28,904.900024,940.000000,904.900024,936.640015,924.875061,53200
2018-11-29,935.000000,942.409973,925.020020,938.000000,926.217834,34400
2018-11-30,936.609985,937.859985,911.270020,911.270020,899.823547,84000
2018-12-03,925.489990,936.890015,904.059998,934.400024,922.663147,86400
2018-12-04,929.869995,941.909973,926.549988,928.169983,916.511230,68200
2018-12-05,930.619995,943.409973,925.909973,939.989990,928.182800,30200
2018-12-06,926.039978,935.929993,910.960022,912.390015,900.929504,87400
2018-12-07,914.760010,914.969971,876.000000,900.570007,889.257996,70600
